"Name","Market Cap","P/E Ratio","Revenue","Average Vol. (3m)","EPS","Beta","Dividend","Yield"
"GAP ADR","3.21B","13.63","385.35M","139.97K","4.55","1.24","5.87","9.47%"
"Nektar","3.21B","-","114.62M","1.53M","-2.52","1.96","-","-"
"Far East Horizon ADR","3.20B","-","-","0.00","-","-","1.19","-"
"Iren ADR","3.20B","-","-","105.00","-","-","0.95","-"
"RLI","3.20B","51.36","857.88M","302.31K","1.42","0.27","0.92","1.26%"
"Halozyme","3.20B","-","195.99M","1.81M","-0.50","1.74","-","-"
"Anixter","3.20B","12.32","8.81B","556.18K","7.54","1.41","-","-"
"Jollibee Foods ADR","3.19B","-","-","1.57K","-","-","0.16","-"
"NewJersey Resources","3.19B","17.79","2.40B","749.33K","1.90","0.43","1.25","3.70%"
"Valley National","3.19B","9.46","752.27M","2.66M","0.88","1.31","0.44","5.26%"
"Blueprint Medicines Corp","3.19B","-","66.51M","848.72K","-7.30","1.08","-","-"
"Trinet Grou","3.19B","14.30","3.86B","630.10K","3.42","1.92","-","-"
"Ford Otomoti Sanayi ADR","3.18B","-","-","548.00","-","-","3.49","-"
"Stantec","3.18B","23.63","81.65M","159.41K","1.25","1.13","0.44","1.87%"
"Inversiones Suramericana ADR","3.18B","-","-","12.61K","-","-","0.33","-"
"Federal Home Loan Mortgage CJ Pref","3.17B","-","-","4.72K","-","-","-","-"
"Federal Home Loan Mortgage CP Pref","3.17B","-","-","3.73K","-","-","-","-"
"Federal Home Loan Mortgage GP Pref","3.17B","-","-","723.00","-","-","2.91","-"
"AmTrust Financial A","3.17B","24.70","-","6.33K","0.60","1.10","1.69","4.61%"
"SES","3.17B","-","-","5.96K","-","-","-","4.50%"
"ChemoCentryx","3.17B","-","36.13M","643.87K","-0.97","2.06","-","-"
"AmTrust Financial F","3.17B","-","-","20.74K","-","-","1.74","-"
"Allakos","3.17B","-","-","384.73K","-1.89","-","-","-"
"Federal Home Loan Mortgage CH Pref","3.17B","-","-","5.38K","-","-","-","-"
"Federal Home Loan Mortgage CL Pref","3.17B","-","-","4.55K","-","-","1.79","-"
"Federal Home Loan Mortgage CO Pref","3.17B","-","-","20.68K","-","-","2.91","-"
"Federal Home Loan Mortgage KN Pref","3.17B","-","-","11.35K","-","-","-","-"
"AmTrust Financial D","3.17B","-","-","16.20K","-","-","1.88","-"
"AmTrust Financial B","3.17B","-","-","11.42K","-","-","1.81","-"
"AmTrust Financial C","3.17B","-","-","9.27K","-","-","1.91","-"
"Sime Darby","3.17B","-","-","700.00","-","-","-","2.61%"
"SLM Corp Pb Pref","3.16B","-","-","23.84K","-","-","4.04","-"
"Leroy Seafood ADR","3.16B","-","-","500.00","-","-","0.46","-"
"Shell Midstream Partners LP","3.16B","8.83","503.00M","1.73M","1.66","1.86","1.84","12.53%"
"PVH","3.16B","8.87","9.91B","1.73M","5.55","2.07","0.15","0.40%"
"Yelp","3.16B","41.30","1.01B","1.53M","0.54","1.52","-","-"
"Ormat","3.15B","36.25","746.04M","315.80K","1.72","0.63","0.44","0.71%"
"Braskem A","3.15B","-","1.44B","202.76K","-1.28","1.47","0.31","5.29%"
"Interactive Brokers","3.15B","20.05","2.62B","878.59K","2.04","0.58","0.40","0.98%"
"Lendingtree","3.15B","92.83","1.11B","236.57K","2.69","2.14","-","-"
"Rexnord","3.15B","20.06","2.06B","1.06M","1.36","1.58","0.32","1.17%"
"AXIS Capital Holdings Ltd Pd Pref","3.14B","-","-","1.79K","-","-","1.38","-"
"Bankia ADR","3.14B","-","-","0.00","-","-","1.25","-"
"Bankia","3.14B","-","63.61M","23.17K","-","-","-","4.66%"
"H&R Block","3.14B","8.59","3.16B","3.82M","1.94","0.83","1.04","6.25%"
"Sprott Physical Gold and Silver Trust","3.14B","7.20","439.14M","1.56M","2.15","0.04","-","0.08%"
"Marriot Vacations Worldwide","3.14B","26.51","4.36B","690.86K","3.13","2.44","2.16","2.60%"
"Shoprite ADR","3.14B","-","-","39.69K","-","-","0.20","-"
"Topbuild Corp","3.13B","18.20","2.62B","420.61K","5.56","1.43","-","-"
"AXIS Capital Holdings Ltd Pref E","3.13B","-","-","60.66K","-","-","1.38","-"
